Szenario,Kapazität (MWh),Gesamterlös (€),Erlös/MWh (€/MWh),Zyklen,Finale_SoC
Ex,4,455445.38707816106,113861.34676954027,2292.959013544086,-4.560005266871711e-12
S,10,1137451.5514000761,113745.15514000761,2288.9030900406333,-7.127341696652598e-13
M,100,11278474.655731495,112784.74655731495,2253.616635625005,1.5142886156770893e-12
L,1000,104389139.71556638,104389.13971556639,1932.7160500701943,2.313279509803667e-09
XL,10000,640117979.9121237,64011.79799121237,956.4098217365802,-9.590647485603383e-17
