timestamp,Ex,S,M,L,XL
2019-01-01 00:00:00+01:00,0.9920431857815402,2.0111173730169987,9.996323886012371,20.00019201342096,199.78758838179098
2019-01-01 01:00:00+01:00,0.9930965935421305,2.009674432734468,9.996835161046954,20.000177471205426,108.53758886152984
2019-01-01 02:00:00+01:00,0.995082560046966,2.006969660465822,9.997786648371902,20.00015003997748,37.787589820776574
2019-01-01 03:00:00+01:00,-1.002238139328034,-1.9966548395346273,-6.2494149739952,-6.433533063951574,8.637591259186868
2019-01-01 04:00:00+01:00,1.0007903978134431,1.9992651342188357,6.248662656914424,6.0664630560679935,21.13759317617807
2019-01-01 05:00:00+01:00,-0.9962467380927617,-2.004739239078994,-9.998373619796668,-19.633539668743342,-4.5624044289809795
2019-01-01 06:00:00+01:00,-0.9937784340716718,-2.008136959344088,-9.997223137222191,-19.999974592595454,-28.0624015572385
2019-01-01 07:00:00+01:00,-0.992176811049926,-2.0104694665713296,-9.996464460479109,-19.99997825474901,-17.162398209763214
2019-01-01 08:00:00+01:00,1.0011823138488454,1.9977104802960424,3.5009992510127974,3.500016683829401,33.537605612095376
2019-01-01 09:00:00+01:00,-0.9985014988201395,-2.0029311597453705,-3.4991385786320537,-3.4999830862499066,26.537609906779377
2019-01-01 10:00:00+01:00,0.000649309811459773,-0.0012857903864141092,5.3023403089818153e-05,2.0974789315028973e-05,33.53761467246992
2019-01-01 11:00:00+01:00,0.9998292998170084,2.0005686303099486,6.757795961931803,11.849999741354745,60.43761990713492
2019-01-01 12:00:00+01:00,0.686181102005949,1.2496287718485342,5.107924034490393,10.199999579349061,58.787625608510396
2019-01-01 13:00:00+01:00,0.05659909349375638,0.5524883829019888,4.408154046097521,9.499999428915656,58.08763177404273
2019-01-01 14:00:00+01:00,0.25731640737000155,0.6575778810586634,4.508428447734711,9.599999290735868,58.18763840093629
2019-01-01 15:00:00+01:00,0.19138942626951225,0.5132905069715923,4.358679493725749,9.449999165167398,58.037645486089524
2019-01-01 16:00:00+01:00,0.9997503679053275,1.9996430732023707,9.99994186693833,19.449999052067934,68.03765302610414
2019-01-01 17:00:00+01:00,0.9997134804904763,1.9994428040801955,9.999921101377103,19.999997123755687,103.48766101727603
2019-01-01 18:00:00+01:00,0.8096895193738614,1.027576767077205,4.859219021634869,9.949998903079965,58.53766945557873
2019-01-01 19:00:00+01:00,-0.00034218983836935757,-0.0007887826161500704,-0.00010494703644645605,-8.754944306821266e-06,33.337678336588944
2019-01-01 20:00:00+01:00,-0.0002725146803980264,9.502859585937703e-05,-5.3878813077760246e-05,5.69595426247537e-06,23.287687655516656
2019-01-01 21:00:00+01:00,-1.0001405148884446,-1.9999753351878844,-10.000045080795815,-19.9999999693256,-63.29904778672822
2019-01-01 22:00:00+01:00,1.0000223508693016,1.9999919865361988,9.999977933421805,20.000000097863435,37.00096099672152
2019-01-01 23:00:00+01:00,0.0018602103978617695,0.0009133508616801054,-0.0001894808909780528,1.721479908878422e-07,-83.29903119375531
2019-01-02 00:00:00+01:00,-0.9989253084032418,-1.999195862143497,-10.000285717570215,-19.15000000416421,-106.49902436422562
2019-01-02 01:00:00+01:00,-0.9995093168604847,-1.9996078040451093,-10.000146106811695,-20.00000004533633,-168.2490185208553
2019-01-02 02:00:00+01:00,-1.0002026824350998,-2.0001118179262964,-9.999971932486538,-20.000000045866685,-180.09901367011076
2019-01-02 03:00:00+01:00,-1.000853680273629,-2.000591021167297,-9.999804321389353,-20.00000006471044,-163.59900981869984
2019-01-02 04:00:00+01:00,-1.0013133506544982,-2.0009332580400283,-9.99968286443503,-20.000000095397965,-183.29900697356686
2019-01-02 05:00:00+01:00,-0.000756843896850136,-0.0004230521428702588,0.0001712187115161946,-0.8499999963088954,-88.19900514197543
2019-01-02 06:00:00+01:00,0.0002510262018213414,-0.001899780829917398,3.396488624359821e-05,3.9976515493359676e-08,-0.9277263158053705
2019-01-02 07:00:00+01:00,-0.002879513114274536,0.005278460022359488,-8.259820957347972e-06,1.4081276859852442e-07,0.6445902485039083
2019-01-02 08:00:00+01:00,0.994839315553062,2.0092339044839322,9.333332895970951,9.65000000827501,10.073305077315776
2019-01-02 09:00:00+01:00,0.9964068151307696,2.0064754092556423,10.000000399955534,20.00000025826285,23.473314709199766
2019-01-02 10:00:00+01:00,0.9987228823826915,2.0023248339598534,6.883332797389529,7.200000210563309,7.623322649135669
2019-01-02 11:00:00+01:00,-0.9986745642008692,-2.0023253131999565,-9.999999958836918,-10.949999612926257,-10.526671108855576
2019-01-02 12:00:00+01:00,-0.9963877436894122,-2.0064756880417387,-10.00000010888857,-19.999999325307606,-25.37666656972062
2019-01-02 13:00:00+01:00,-0.9948876013668646,-2.0092338537216796,-6.216666140955042,-5.899999171354011,-5.47666373738274
2019-01-02 14:00:00+01:00,0.0027788436754768507,-0.0052758276914451245,-2.041958607584045e-06,-2.6500454496677123e-06,0.23298563402792236
2019-01-02 15:00:00+01:00,0.003295705685041776,0.0021149921405091035,2.8149016265990417e-05,-1.8044747114892936e-06,11.193756225995587
2019-01-02 16:00:00+01:00,1.006501561408569,1.9170062009379025,5.416255580565068,10.38749616270147,22.893751599236968
2019-01-02 17:00:00+01:00,1.0046225114456722,2.000212385301743,10.000039566110173,15.087496689093257,27.593747333265252
2019-01-02 18:00:00+01:00,1.0013091041195725,2.0000148809714897,10.000023635527024,19.999996438928726,53.24374342837634
2019-01-02 19:00:00+01:00,0.9975086226515483,1.999839552370163,10.00000870187985,19.99999644197956,53.393739885415826
