scenario,capacity,capex_per_mwh,hurdle_rate,market_revenue,revenue_per_mwh,cycles,cycles_per_year,effective_cycles,limiting_factor,implied_optimal_hurdle,degradation_cost,net_profit,net_profit_per_mwh
Ex,4,200000,7.5,413807.8098836482,103451.95247091205,1886.187143616816,314.364523936136,4715.46785904204,calendar,21.206803436958484,320000.0,93807.80988364818,23451.952470912045
S,10,190000,7.5,1030070.6342008614,103007.06342008614,1870.8022787746893,311.80037979578157,4677.005696936723,calendar,20.312141176612574,760000.0,270070.63420086144,27007.063420086146
M,100,180000,5.0,10879740.336572595,108797.40336572594,2096.0173213448456,349.33622022414096,5000.0,cycle,18.0,7545662.356841445,3334077.97973115,33340.7797973115
L,1000,170000,0.0,95872091.37996411,95872.09137996411,1796.2527274884162,299.3754545814027,4490.631818721041,calendar,18.928294153540406,68000000.0,27872091.379964113,27872.091379964113
XL,10000,160000,0.0,301629195.76112515,30162.919576112516,407.1225919818476,67.85376533030794,1017.806479954619,calendar,78.60040349081582,640000000.0,-338370804.23887485,-33837.080423887484
