,Kapazität (MWh),slope (α),Durchsatz (MWh),Zyklen,Energieerlös (€),Price Impact (€),Hurdle-Kosten (€),Effizienzverluste (€),Netto-Gewinn (€)
Ex,4.0,0.0,15667.295876471544,1958.411984558943,531141.9082048477,0.0,109671.07113530082,151563.210225912,269907.62684363493
S,10.0,0.05,38795.606831314064,1939.780341565703,1325253.9922383933,4574.277790700583,271569.24781919847,376743.33874832786,672367.1278801663
M,100.0,0.05,360614.7651941047,1803.0738259705236,13034905.695664166,407048.9489985773,2524303.3563587326,3600550.946851685,6503002.443455173
L,1000.0,0.05,2319251.293712582,1159.625646856291,112110247.68275689,19918160.183011565,16234759.055988077,25594063.191307615,50363265.25244964
XL,10000.0,0.05,6207076.110774334,310.3538055387167,456151137.59659004,160730234.0471474,43449532.77542033,70097795.16758887,181873575.60643345
