Szenario,Kapazität (MWh),Erlös (€),Zyklen
Ex,5,2948.8976963225045,70.22298404772263
S,10,5904.583440034166,68.83965448189481
M,50,28314.7776963101,61.55113780820164
L,100,52998.9056749357,55.048355737424025
XL,1000,256325.44753635122,19.9556036751029
