Szenario,Kapazität (MWh),Erlös (€),Zyklen
Ex,5,16648.718498686787,658.0984749802669
S,10,32963.044639124804,648.6857847356061
M,50,147888.72328610433,589.2341457340947
L,100,257413.04251382608,528.840291406495
XL,1000,1184312.4569394966,147.09904486784163
